Player Name,Base Price,Category,Bowl_Style,Bat_Style,Bat_Hand,Age,Is_Keeper,Wickets,Bowl_Innings,Eco_Median,Bowl_Avg,Runs,Bat_Innings,SR_Median,Bat_Avg,Past_Price_2025,Past_Team_2025,Sold_2025,Retained
Matty Potts,1.0,Overseas,Right-arm medium,Right-hand bat,R,27.0,0.0,24.0,19.0,8.25,23.17,56.0,8.0,75.0,7.0,0.0,None,False,False
Riley Meredith,1.0,Overseas,Right-arm Fast,Right-hand bat,R,29.0,0.0,88.0,63.0,8.5,22.26,11.0,6.0,12.5,1.83,0.0,None,False,False
Jhye Richardson,1.0,Overseas,Right-arm Fast,Right-hand bat,R,29.0,0.0,17.0,15.0,9.3,30.18,23.0,7.0,100.0,3.29,0.0,None,True,False
Cameron Green,1.0,Overseas,Right-arm medium,Right-hand bat,R,26.0,0.0,17.0,31.0,9.0,41.29,947.0,36.0,141.67,26.31,0.0,None,False,False
Lance Morris,1.0,Overseas,Right-arm medium,Right-hand bat,R,27.0,0.0,37.0,22.0,7.0,17.19,1.0,2.0,50.0,0.5,0.0,None,True,False
Shai Hope,1.0,Overseas,,Right-hand bat,R,32.0,1.0,0.0,0.0,12.0,99.0,3791.0,122.0,121.97,31.07,0.0,None,True,False
Tim Seifert,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,30.0,1.0,0.0,0.0,12.0,99.0,3220.0,110.0,128.99,29.27,0.0,None,True,False
Gerald Coetzee,1.0,Overseas,Right-arm Fast,Right-hand bat,R,25.0,0.0,61.0,46.0,9.44,24.0,189.0,33.0,80.0,5.73,2.4,GT,True,False
Sikandar Raza,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,39.0,0.0,87.0,119.0,7.5,30.62,2585.0,123.0,127.27,21.02,0.0,None,True,False
Matheesha Pathirana,1.0,Overseas,Right-arm medium,Right-hand bat,R,22.0,0.0,118.0,84.0,9.0,21.71,28.0,16.0,10.0,1.75,0.0,CSK,False,False
Andre Russell,1.0,Overseas,Right-arm Fast,Right-hand bat,R,37.0,0.0,119.0,129.0,10.0,27.92,2509.0,130.0,160.0,19.3,0.0,KKR,False,False
Benjamin Sears,1.0,Overseas,Right-arm medium-fast,Right-hand bat,R,27.0,0.0,17.0,15.0,9.0,28.35,36.0,8.0,100.0,4.5,0.0,None,False,False
Dan Lawrence,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,27.0,0.0,24.0,27.0,7.5,18.88,1274.0,54.0,123.22,23.59,0.0,None,False,False
Lungi Ngidi,1.0,Overseas,Right-arm Fast,Right-hand bat,R,29.0,0.0,42.0,41.0,9.75,31.79,60.0,18.0,64.59,3.33,1.0,RCB,True,False
Chris Green,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,32.0,0.0,98.0,88.0,6.98,23.03,870.0,66.0,129.15,13.18,0.0,None,False,False
David Payne,1.0,Overseas,Left-arm fast-medium,Right-hand bat,R,34.0,0.0,97.0,69.0,7.0,19.53,170.0,28.0,106.25,6.07,0.0,None,False,False
Ashton Turner,1.0,Overseas,Right-arm offbreak,Right-hand bat,R,32.0,0.0,9.0,27.0,9.0,39.11,1394.0,67.0,130.77,20.81,0.0,None,True,False
Ravi Bishnoi,1.0,Indian,Right-arm Leg-Break,Right-hand bat,R,25.0,0.0,91.0,78.0,7.75,24.77,82.0,22.0,96.43,3.73,0.0,LSG,False,False
Mayank Agarwal,1.0,Indian,Right-arm offbreak,Right-hand bat,R,34.0,0.0,0.0,0.0,12.0,99.0,1405.0,56.0,132.29,25.09,0.0,None,False,False
Rahul Chahar,1.0,Indian,Right-arm Leg-Break,Right-hand bat,R,26.0,0.0,33.0,39.0,8.0,33.64,112.0,10.0,149.23,11.2,3.2,SRH,True,False
Akash Deep,1.0,Indian,Right-arm Fast,Right-hand bat,R,28.0,0.0,17.0,19.0,10.75,37.18,101.0,9.0,150.0,11.22,8.0,LSG,True,False
Krishnappa Gowtham,0.5,Indian,Right-arm offbreak,Right-hand bat,R,37.0,0.0,42.0,41.0,7.25,24.43,205.0,30.0,100.0,6.83,0.0,None,True,False
Karim Janat,0.5,Overseas,Right-arm medium,Right-hand bat,R,27.0,0.0,33.0,48.0,9.12,39.42,1141.0,64.0,120.87,17.83,0.75,GT,True,False
Patrick Kruger,0.5,Overseas,Right-arm medium,Right-hand bat,R,30.0,0.0,12.0,12.0,9.16,19.33,144.0,11.0,104.76,13.09,0.0,None,True,False
Matthew Short,0.5,Overseas,Right-arm offbreak,Right-hand bat,R,30.0,0.0,34.0,44.0,8.25,27.18,2153.0,69.0,145.45,31.2,0.0,None,True,False
Kyle Verreynne,0.5,Overseas,Right-arm offbreak,Right-hand bat,R,27.0,0.0,0.0,0.0,12.0,99.0,462.0,20.0,132.05,23.1,0.0,None,False,False
Dwaine Pretorius,0.5,Overseas,Right-arm medium-fast,Right-hand bat,R,36.0,0.0,108.0,84.0,8.5,21.74,689.0,59.0,110.0,11.68,0.0,None,True,False
Roston Chase,0.5,Overseas,Right-arm offbreak,Right-hand bat,R,33.0,0.0,56.0,66.0,7.0,24.79,1278.0,65.0,113.33,19.66,0.0,None,True,False
Nangeyalia Kharote,0.5,Overseas,Slow left-arm orthodox,Left-hand bat,L,24.0,0.0,18.0,22.0,6.88,26.5,128.0,18.0,75.0,7.11,0.0,None,True,False
Lizaad Williams,0.5,Overseas,Right-arm medium-fast,Left-hand bat,L,32.0,0.0,36.0,25.0,9.67,21.75,38.0,14.0,33.33,2.71,0.75,MI,True,False
Ben Dwarshuis,0.5,Overseas,Left-arm fast-medium,Left-hand bat,L,31.0,0.0,85.0,67.0,8.25,23.81,602.0,45.0,136.84,13.38,0.0,None,False,False
Reece Topley,0.5,Overseas,Left-arm medium-fast,Right-hand bat,R,31.0,0.0,57.0,56.0,8.59,27.65,24.0,12.0,91.66,2.0,0.75,MI,True,False
Josh Philippe,0.5,Overseas,,Right-hand bat,R,28.0,1.0,0.0,0.0,12.0,99.0,607.0,33.0,112.5,18.39,0.0,None,True,False
Ben McDermott,0.5,Overseas,Right-arm offbreak,Right-hand bat,R,30.0,0.0,0.0,0.0,12.0,99.0,1848.0,72.0,126.6,25.67,0.0,None,True,False
Blessing Muzarabani,0.5,Overseas,Right-arm Fast,Right-hand bat,R,29.0,0.0,63.0,53.0,7.0,22.38,26.0,13.0,50.0,2.0,0.0,None,True,False
Joshua Little,0.5,Overseas,Left-arm Fast,Right-hand bat,R,26.0,0.0,41.0,45.0,9.0,32.9,51.0,12.0,61.9,4.25,0.0,None,True,False
Waqar Salamkheil,0.5,Overseas,Left-arm Chinaman,Right-hand bat,R,24.0,0.0,78.0,60.0,8.05,21.65,9.0,8.0,0.0,1.12,0.0,None,True,False
Cooper Connolly,0.5,Overseas,Slow left-arm orthodox,Left-hand bat,L,22.0,0.0,13.0,20.0,9.0,24.85,646.0,28.0,134.57,23.07,0.0,None,False,False
Nqabayomzi Peter,0.5,Overseas,Right-arm Leg-Break,Right-hand bat,R,24.0,0.0,9.0,13.0,9.0,38.78,29.0,5.0,140.0,5.8,0.0,None,False,False
Jeffrey Vandersay,0.5,Overseas,Right-arm Leg-Break,Right-hand bat,R,35.0,0.0,7.0,11.0,7.33,45.29,21.0,7.0,42.86,3.0,0.0,None,True,False
Ottneil Baartman,0.5,Overseas,Right-arm medium-fast,Right-hand bat,R,32.0,0.0,62.0,40.0,7.68,17.63,20.0,7.0,50.0,2.86,0.0,None,True,False
Shamar Joseph,0.5,Overseas,Right-arm Fast,Right-hand bat,R,26.0,0.0,24.0,25.0,8.57,29.83,13.0,6.0,33.34,2.17,0.75,LSG,False,False
Mikyle Louis,0.5,Overseas,Right-arm Leg-Break,Right-hand bat,R,25.0,0.0,2.0,1.0,2.0,0.5,541.0,26.0,104.76,20.81,0.0,None,False,False
Alick Athanaze,0.5,Overseas,Right-arm offbreak,Left-hand bat,L,27.0,0.0,0.0,2.0,23.0,16.0,640.0,33.0,85.71,19.39,0.0,None,False,False
Luke Wood,0.5,Overseas,Left-arm medium,Left-hand bat,L,30.0,0.0,115.0,93.0,8.25,24.3,264.0,42.0,100.0,6.29,0.0,None,True,False
Hilton Cartwright,0.5,Overseas,Right-arm medium,Right-hand bat,R,33.0,0.0,0.0,0.0,12.0,99.0,769.0,34.0,134.85,22.62,0.0,None,False,False
Pathum Nissanka,0.5,Overseas,,Right-hand bat,R,27.0,0.0,0.0,0.0,12.0,99.0,1800.0,60.0,120.0,30.0,0.0,None,True,False
Brandon King,0.5,Overseas,,Right-hand bat,R,30.0,0.0,0.0,0.0,12.0,99.0,1805.0,82.0,116.96,22.01,0.0,None,True,False
Sediqullah Atal,0.5,Overseas,,Left-hand bat,L,23.0,0.0,0.0,0.0,12.0,99.0,1796.0,50.0,130.07,35.92,0.0,None,True,False
Kusal Perera,0.5,Overseas,,Left-hand bat,L,35.0,1.0,0.0,0.0,12.0,99.0,2112.0,67.0,133.33,31.52,0.0,None,True,False
Pieter Willem Mulder,0.5,Overseas,Right-arm medium,Right-hand bat,R,27.0,0.0,19.0,33.0,10.0,37.53,1087.0,53.0,115.79,20.51,0.0,None,False,False
Gudakesh Moti-Kanhai,0.5,Overseas,Slow left-arm orthodox,Left-hand bat,L,30.0,0.0,96.0,82.0,7.62,21.4,271.0,37.0,87.5,7.32,0.0,None,False,False
Mohammad Rishad Hossain,0.5,Overseas,Right-arm Leg-Break,Right-hand bat,R,23.0,0.0,91.0,70.0,8.1,20.66,275.0,41.0,100.0,6.71,0.0,None,False,False
Dunith Wellalage,0.5,Overseas,Slow left-arm orthodox,Left-hand bat,L,22.0,0.0,41.0,41.0,7.33,24.29,334.0,25.0,94.12,13.36,0.0,None,True,False
Richard Gleeson,0.5,Overseas,Right-arm medium,Right-hand bat,R,38.0,0.0,51.0,42.0,6.88,21.35,11.0,12.0,33.34,0.92,0.0,None,True,False
Dan Mousley,0.5,Overseas,Right-arm offbreak,Left-hand bat,L,24.0,0.0,60.0,54.0,7.25,20.95,1147.0,55.0,111.76,20.85,0.0,None,True,False
Srikar Bharat,0.5,Indian,,Right-hand bat,R,32.0,0.0,0.0,0.0,12.0,99.0,881.0,23.0,150.0,38.3,0.0,None,True,False
Kuldeep Sen,0.5,Indian,Right-arm medium-fast,Right-hand bat,R,29.0,0.0,17.0,16.0,10.46,32.29,0.0,3.0,0.0,0.0,0.8,PBKS,True,False
Sandeep Warrier,0.5,Indian,Right-arm medium,Right-hand bat,R,34.0,0.0,34.0,39.0,8.5,30.09,2.0,3.0,33.33,0.67,0.0,None,True,False
Rahul Tripathi,0.5,Indian,Right-arm medium-fast,Right-hand bat,R,34.0,0.0,0.0,1.0,4.0,4.0,1508.0,64.0,137.5,23.56,3.4,CSK,True,False
Navdeep Saini,0.5,Indian,Right-arm Fast,Right-hand bat,R,33.0,0.0,15.0,23.0,9.79,44.33,25.0,6.0,75.0,4.17,0.0,None,True,False
Shivam Mavi,0.5,Indian,Right-arm Fast,Right-hand bat,R,26.0,0.0,40.0,27.0,8.0,19.3,249.0,17.0,150.0,14.65,0.0,None,True,False
Sarfaraz Khan,0.5,Indian,Right-arm Leg-Break,Right-hand bat,R,28.0,0.0,0.0,0.0,12.0,99.0,102.0,8.0,89.12,12.75,0.0,None,True,False
Prithvi Shaw,0.5,Indian,Right-arm offbreak,Right-hand bat,R,26.0,0.0,0.0,0.0,12.0,99.0,775.0,32.0,144.46,24.22,0.0,None,True,False
Deepak Hooda,0.5,Indian,Right-arm offbreak,Right-hand bat,R,30.0,0.0,2.0,10.0,8.0,61.5,579.0,39.0,100.0,14.85,1.7,CSK,True,False
Chetan Sakariya,0.5,Indian,Left-arm medium-fast,Left-hand bat,L,27.0,0.0,12.0,12.0,9.0,33.58,16.0,4.0,83.34,4.0,0.0,None,True,False
Tom Kohler,0.5,Overseas,Right-arm offbreak,Right-hand bat,R,31.0,0.0,0.0,0.0,12.0,99.0,2878.0,110.0,142.86,26.16,0.0,None,False,False
Leus du Plooy,0.5,Overseas,Slow left-arm orthodox,Left-hand bat,L,30.0,0.0,0.0,4.0,12.0,32.0,1441.0,61.0,118.75,23.62,0.0,None,True,False
Mahipal Lomror,0.3,Indian,Slow left-arm orthodox,Left-hand bat,L,26.0,0.0,1.0,8.0,11.0,98.0,587.0,30.0,133.33,19.57,1.7,GT,True,False
Karn Sharma,0.3,Indian,Right-arm Leg-Break,Left-hand bat,L,38.0,0.0,39.0,42.0,9.5,31.72,269.0,19.0,150.0,14.16,0.5,MI,True,False
Mohit Sharma,0.3,Indian,Right-arm medium,Right-hand bat,R,37.0,0.0,42.0,35.0,9.0,25.88,3.0,5.0,0.0,0.6,2.2,DC,True,False
Ajay Ahlawat,0.3,Indian,Left-arm medium,Right-hand bat,R,0.0,0.0,3.0,4.0,10.0,33.33,0.0,0.0,100.0,0.0,0.0,None,False,False
Jalaj Saxena,0.3,Indian,Right-arm offbreak,Right-hand bat,R,38.0,0.0,25.0,17.0,5.5,14.64,303.0,11.0,129.41,27.55,0.0,None,False,False
Siddarth Kaul,0.3,Indian,Right-arm medium,Right-hand bat,R,35.0,0.0,36.0,26.0,8.41,21.89,165.0,14.0,144.1,11.79,0.0,None,True,False
Kartik Tyagi,0.3,Indian,Right-arm medium-fast,Right-hand bat,R,25.0,0.0,36.0,26.0,9.36,20.25,8.0,3.0,50.0,2.67,0.0,None,True,False
Oliver Davies,0.3,Overseas,Right-arm offbreak,Right-hand bat,R,25.0,0.0,0.0,3.0,9.0,24.0,508.0,25.0,117.65,20.32,0.0,None,False,False
Duan Jansen,0.3,Overseas,Left-arm Fast,Right-hand bat,R,25.0,0.0,5.0,5.0,9.5,32.6,15.0,2.0,150.0,7.5,0.0,None,True,False
Joshua Brown,0.3,Overseas,Right-arm offbreak,Right-hand bat,R,31.0,0.0,0.0,1.0,18.0,48.0,938.0,39.0,134.48,24.05,0.0,None,False,False
Bevon Jacobs,0.3,Overseas,Right-arm medium,Right-hand bat,R,23.0,0.0,0.0,0.0,12.0,99.0,125.0,9.0,95.24,13.89,0.3,MI,True,False
Arpit Rana,0.3,Indian,Right-arm offbreak,Left-hand bat,L,22.0,0.0,1.0,9.0,11.5,149.0,757.0,20.0,143.54,37.85,0.0,None,False,False
Sarthak Ranjan,0.3,Indian,Right-arm Leg-Break,Right-hand bat,R,29.0,0.0,0.0,0.0,12.0,99.0,701.0,19.0,140.0,36.89,0.0,None,False,False
Krish Yadav,0.3,Indian,Right-arm medium,Right-hand bat,R,25.0,0.0,0.0,0.0,12.0,99.0,631.0,19.0,141.67,33.21,0.0,None,False,False
Anmol Sharma,0.3,Indian,Right-arm medium,Right-hand bat,R,25.0,0.0,2.0,3.0,8.0,13.0,424.0,18.0,102.28,23.56,0.0,None,False,False
Shivam Singh,0.3,Indian,Right-arm medium-fast,Right-hand bat,R,0.0,0.0,0.0,1.0,2.4,2.0,1006.0,26.0,130.22,38.69,0.0,None,True,False
M Hemanth Reddy,0.3,Indian,Right-arm Leg-Break,Right-hand bat,R,23.0,0.0,8.0,7.0,9.5,20.12,286.0,11.0,160.0,26.0,0.0,None,False,False
Tejasvi Jaiswal,0.3,Indian,Right-arm medium,Left-hand bat,L,28.0,0.0,0.0,0.0,12.0,99.0,1.0,1.0,50.0,1.0,0.0,None,False,False
Salil Arora,0.3,Indian,Right-arm medium,Right-hand bat,R,23.0,0.0,0.0,0.0,12.0,99.0,673.0,27.0,123.08,24.93,0.0,None,False,False
Salman Nizar,0.3,Indian,Right-arm offbreak,Left-hand bat,L,28.0,0.0,1.0,1.0,5.5,11.0,1423.0,38.0,144.24,37.45,0.0,None,True,False
Writtick Chatterjee,0.3,Indian,Right-arm offbreak,Right-hand bat,R,33.0,0.0,23.0,25.0,6.33,21.78,581.0,24.0,131.7,24.21,0.0,None,False,False
Ravi Kumar,0.3,Indian,Left-arm Fast,Left-hand bat,L,22.0,0.0,9.0,8.0,10.12,24.89,6.0,2.0,66.67,3.0,0.0,None,False,False
Ripal Patel,0.3,Indian,Right-arm medium-fast,Right-hand bat,R,30.0,0.0,2.0,5.0,7.75,63.0,297.0,17.0,150.0,17.47,0.0,None,True,False
Kulwant Khejroliya,0.3,Indian,Left-arm medium-fast,Left-hand bat,L,33.0,0.0,13.0,13.0,12.25,36.23,27.0,4.0,100.0,6.75,0.3,GT,True,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Himanshu Singh,0.3,Indian,Right-arm offbreak,Right-hand bat,R,22.0,0.0,0.0,1.0,9.33,28.0,3.0,1.0,75.0,3.0,0.0,None,False,False
Narayan Jagadeesan,0.3,Indian,Right-arm medium,Right-hand bat,R,29.0,0.0,0.0,0.0,12.0,99.0,800.0,31.0,130.0,25.81,0.0,None,False,False
Shubham Khajuria,0.3,Indian,Right-arm offbreak,Right-hand bat,R,30.0,0.0,0.0,0.0,12.0,99.0,112.0,4.0,95.03,28.0,0.0,None,False,False
Yeddala Kumar Reddy,0.3,Indian,Right-arm Fast,Right-hand bat,R,25.0,0.0,9.0,7.0,11.5,21.78,3.0,1.0,33.33,3.0,0.0,None,False,False
Prashant Solanki,0.3,Indian,Right-arm Leg-Break,Right-hand bat,R,25.0,0.0,48.0,38.0,8.88,22.5,67.0,11.0,137.5,6.09,0.0,None,True,False
Tejpreet Singh,0.3,Indian,Right-arm Leg-Break,Right-hand bat,R,25.0,0.0,10.0,14.0,7.5,28.9,54.0,6.0,114.28,9.0,0.0,None,False,False
Bipin Saurabh,0.3,Indian,Right-arm medium-fast,Right-hand bat,R,26.0,0.0,0.0,0.0,12.0,99.0,139.0,4.0,100.48,34.75,0.0,None,False,False
