Player Name,Base Price,Category
Krishnappa Gowtham,0.5,Indian
Karim Janat,0.5,Overseas
Patrick Kruger,0.5,Overseas
Matthew Short,0.5,Overseas
Kyle Verreynne,0.5,Overseas
Dwaine Pretorius,0.5,Overseas
Roston Chase,0.5,Overseas
Nangeyalia Kharote,0.5,Overseas
Lizaad Williams,0.5,Overseas
Ben Dwarshuis,0.5,Overseas
Reece Topley,0.5,Overseas
Josh Philippe,0.5,Overseas
Ben McDermott,0.5,Overseas
Blessing Muzarabani,0.5,Overseas
Joshua Little,0.5,Overseas
Waqar Salamkheil,0.5,Overseas
Cooper Connolly,0.5,Overseas
Nqabayomzi Peter,0.5,Overseas
Jeffrey Vandersay,0.5,Overseas
Ottneil Baartman,0.5,Overseas
Shamar Joseph,0.5,Overseas
Mikyle Louis,0.5,Overseas
Alick Athanaze,0.5,Overseas
Luke Wood,0.5,Overseas
Hilton Cartwright,0.5,Overseas
Pathum Nissanka,0.5,Overseas
Brandon King,0.5,Overseas
Sediqullah Atal,0.5,Overseas
Kusal Perera,0.5,Overseas
Pieter Willem Mulder,0.5,Overseas
Gudakesh Moti-Kanhai,0.5,Overseas
Mohammad Rishad Hossain,0.5,Overseas
Dunith Wellalage,0.5,Overseas
Richard Gleeson,0.5,Overseas
Dan Mousley,0.5,Overseas
Srikar Bharat,0.5,Indian
Kuldeep Sen,0.5,Indian
Sandeep Warrier,0.5,Indian
Rahul Tripathi,0.5,Indian
Navdeep Saini,0.5,Indian
Shivam Mavi,0.5,Indian
Sarfaraz Khan,0.5,Indian
Prithvi Shaw,0.5,Indian
Deepak Hooda,0.5,Indian
Chetan Sakariya,0.5,Indian
Tom Kohler,0.5,Overseas
Leus du Plooy,0.5,Overseas
Mahipal Lomror,0.3,Indian
Karn Sharma,0.3,Indian
Mohit Sharma,0.3,Indian
Ajay Ahlawat,0.3,Indian
Jalaj Saxena,0.3,Indian
Siddarth Kaul,0.3,Indian
Kartik Tyagi,0.3,Indian
Oliver Davies,0.3,Overseas
Duan Jansen,0.3,Overseas
Joshua Brown,0.3,Overseas
Bevon Jacobs,0.3,Overseas
Arpit Rana,0.3,Indian
Sarthak Ranjan,0.3,Indian
Krish Yadav,0.3,Indian
Anmol Sharma,0.3,Indian
Shivam Singh,0.3,Indian
M Hemanth Reddy,0.3,Indian
Tejasvi Jaiswal,0.3,Indian
Salil Arora,0.3,Indian
Salman Nizar,0.3,Indian
Writtick Chatterjee,0.3,Indian
Ravi Kumar,0.3,Indian
Ripal Patel,0.3,Indian
Kulwant Khejroliya,0.3,Indian
Himanshu Singh,0.3,Indian
Narayan Jagadeesan,0.3,Indian
Shubham Khajuria,0.3,Indian
Yeddala Kumar Reddy,0.3,Indian
Prashant Solanki,0.3,Indian
Tejpreet Singh,0.3,Indian
Bipin Saurabh,0.3,Indian
Siddarth Yadav,0.3,Indian
Samarth Vyas,0.3,Indian
Mohit Rathee,0.3,Indian
Pratham Sing,0.3,Indian
Vicky Ostwal,0.3,Indian
Hardik Tamore,0.3,Indian
Aarya Desai,0.3,Indian
Tanush Kotian,0.3,Indian
KM Asif,0.3,Indian
KL Shrijith,0.3,Indian
Yuvraj Chaudhary,0.3,Indian
Ashok Sharma,0.3,Indian
Samarth Nagaraj,0.3,Indian
Shubhang Hegde,0.3,Indian
Aryan Juyal,0.3,Indian
Praful Hinge,0.3,Indian
Vivrant Sharma,0.3,Indian
KC Cariappa,0.3,Indian
PV Satyanarayan Raju,0.3,Indian
Akhil Rawat,0.3,Indian
Rajneesh Gurbani,0.3,Indian
Jafar Jamal,0.3,Indian
Kuldip Yadav,0.3,Indian
Manoj Bhandage,0.3,Indian
Akshat Raghuwanshi,0.3,Indian
Prateek Yadav,0.3,Indian
Jasmer Dhankar,0.3,Indian
Mohit Avasthi,0.3,Indian
Sudhesan Midhun,0.3,Indian
Anirudh Kanwar,0.3,Indian
Kamal Tripathi,0.3,Indian
Prashant Sai Painkra,0.3,Indian
Yarra Prithviraj,0.3,Indian
Saurabh Dubey,0.3,Indian
Abhimanyu Easwaran,0.3,Indian
Ashwin Hebbar,0.3,Indian
Divesh Sharma,0.3,Indian
Saranu Nishanth,0.3,Indian
Vaisakh Chandran,0.3,Indian
Ishan Porel,0.3,Indian
Dinesh Bana,0.3,Indian
Vishwanath Singh,0.3,Indian
Vishnu Solanki,0.3,Indian
Anshuman Hooda,0.3,Indian
BR Sharath,0.3,Indian
Umang Kumar,0.3,Indian
Mahesh Pithiya,0.3,Indian
Rohan Kunnummal,0.3,Indian
Rohit Rayudu,0.3,Indian
Jonte Smith,0.3,Indian
Tanmay Agarwal,0.3,Indian
Aman Khan,0.3,Indian
Swastik Chikara,0.3,Indian
Harvik Desai,0.3,Indian
Shreyash Chavan,0.3,Indian
Atharva Taide,0.3,Indian
Rithik S,0.3,Indian
Yash Dhull,0.3,Indian
Deepak Devadiga,0.3,Indian
Madhav Kaushik,0.3,Indian
Tanay Thyagarajan,0.3,Indian
Rajan Kumar,0.3,Indian
Kunal Ajay Rathore,0.3,Indian
Vignesh Puthur,0.3,Indian
Luvnith Sisodia,0.3,Indian
Ankit Rajpoot,0.3,Indian
Tushar Raheja,0.3,Indian
Mayank Rawat,0.3,Indian
Sachin Dhas,0.3,Indian
Ricky Bhui,0.3,Indian
Aradhya Shukla,0.3,Indian
Sudip Kumar Gharami,0.3,Indian
Bharat Sharma,0.3,Indian
Basil Thampi,0.3,Indian
Raj Limbani,0.3,Indian
Anmol Malhotra,0.3,Indian
Sushant Mishra,0.3,Indian
Maruthungal Ajinas,0.3,Indian
Pulkit Narang,0.3,Indian
Mujtaba Yousuf,0.3,Indian
Vineet Panwar,0.3,Indian
R Sonu Yadav,0.3,Indian
Avneesh Sudha,0.3,Indian
Avinash Singh,0.3,Indian
Nishunk Birla,0.3,Indian
Tejasvi Dahiya,0.3,Indian
Yugal Saini,0.3,Indian
Ayush Doseja,0.3,Indian
Shivam Gupta,0.3,Indian
Samarth Seth,0.3,Indian
Rajneesh Dadar,0.3,Indian
Manan Bhardwaj,0.3,Indian
Aaradhya Yadav,0.3,Indian
Sumeet Verma,0.3,Indian
Shaik Rasheed,0.3,Indian
Ayush Vartak,0.3,Indian
Akash Vasisht,0.3,Indian
Abhinav Manohar,0.3,Indian
Prayas Ray Barman,0.3,Indian
Kartik Chadha,0.3,Indian
Abhay Kamal Choudhary,0.3,Indian
Rohan Rana,0.3,Indian
Naman Tiwari,0.3,Indian
Mukhtar Hussain,0.3,Indian
Vidyadhar Patil,0.3,Indian
Sakib Hussain,0.3,Indian
Kritagya Singh,0.3,Indian
Digvijay Deshmukh,0.3,Indian
Slakshy Jain,0.3,Indian
Dhruv Kaushik,0.3,Indian
Girinath Reddy,0.3,Indian
Abid Mushtaq,0.3,Indian
Priyam Garg,0.3,Indian
Murugan Ashwin,0.3,Indian
Lalit Yadav,0.3,Indian
Jonty Sidhu,0.3,Indian
Sohrab Dhaliwal,0.3,Indian
Sachin Baby,0.3,Indian
Shubham Shubham Agarwal,0.3,Indian
Prerak Mankad,0.3,Indian
Sanjay Yadav,0.3,Indian
Baba Indrajith,0.3,Indian
Atharva Kale,0.3,Indian
Sumit Kumar 1,0.3,Indian
Akash Madhwal,0.3,Indian
Andre Siddharth,0.3,Indian
Amandeep Khare,0.3,Indian
Saransh Subodh Jain,0.3,Indian
Hardik Raj,0.3,Indian
P Vignesh,0.3,Indian
Kaushik Maity,0.3,Indian
Hrithik Shokeen,0.3,Indian
Manan Vohra,0.3,Indian
Abdul Basith,0.3,Indian
Atharva Ankolekar,0.3,Indian
Himanshu Sharma,0.3,Indian
Prince Choudhary,0.3,Indian
Shiva Singh,0.3,Indian
Arpit Guleria,0.3,Indian
Rajvardhan Hangargekar,0.3,Indian
Suyash Prabhudessai,0.3,Indian
Abhijeet Tomar,0.3,Indian
Harsh Tyagi,0.3,Indian
Himanshu Singh,0.3,Indian
Darshan Nalkande,0.3,Indian
Shashwat Rawat,0.3,Indian
Gaurav Gambhir,0.3,Indian
Utkarsh Singh,0.3,Indian
Atit Sheth,0.3,Indian
Vijay Shankar,0.3,Indian
Shubham Garhwal,0.3,Indian
Dipesh Parwani,0.3,Indian
Akhil Chaudhary,0.3,Indian
Apoorv Wankhade,0.3,Indian
L Manvanth Kumar,0.3,Indian
Vansh Bedi,0.3,Indian
LR Chethan,0.3,Indian
Raghav Goyal,0.3,Indian
Abhilash Shetty,0.3,Indian
Money Grewal,0.3,Indian
Shivalik Sharma,0.3,Indian
Mohammed Azharuddeen,0.3,Indian
Ayush Pandey,0.3,Indian
Uday Saharan,0.3,Indian
Praveen Dubey,0.3,Indian
Shubham Kapse,0.3,Indian
Himanshu Chauhan,0.3,Indian
Yuvraj Chudasama,0.3,Indian
Sanvir Singh,0.3,Indian
Akash Parkar,0.3,Indian
Simarjeet Singh,0.3,Indian
Mayank Dagar,0.3,Indian
Saurav Chauhan,0.3,Indian
Roshan Waghsare,0.3,Indian
Upendra Yadav,0.3,Indian
Kumar Kartikeya Singh,0.3,Indian
Ravi Yadav,0.3,Indian
Kamlesh Nagarkoti,0.3,Indian
Aaqib Khan,0.3,Indian
Anmolpreet Singh,0.3,Indian
PP Jaiswal,0.3,Indian
Mohamed Ali,0.3,Indian
Saumy Pandey,0.3,Indian
Ayaz Khan 1,0.3,Indian
Virat Singh,0.3,Indian
Karan Sharma,0.3,Indian
Vasu Vats,0.3,Indian
