Player Name,Bowl_Style,Bat_Style,Bat_Hand,DOB,Is_Keeper,Age
Daniel Worrall,Right-arm fast-medium,Right-hand bat,R,10/07/91,0.0,34.0
Matty Potts,Right-arm medium,Right-hand bat,R,29/10/98,0.0,27.0
Riley Meredith,Right-arm Fast,Right-hand bat,R,21/06/96,0.0,29.0
Jhye Richardson,Right-arm Fast,Right-hand bat,R,20/09/96,0.0,29.0
Cameron Green,Right-arm medium,Right-hand bat,R,03/06/99,0.0,26.0
Lance Morris,Right-arm medium,Right-hand bat,R,28/03/98,0.0,27.0
Shai Hope,,Right-hand bat,R,10/11/93,1.0,32.0
Tim Seifert,Right-arm offbreak,Right-hand bat,R,14/12/94,1.0,30.0
Gerald Coetzee,Right-arm Fast,Right-hand bat,R,02/10/00,0.0,25.0
Sikandar Raza,Right-arm offbreak,Right-hand bat,R,24/04/86,0.0,39.0
Matheesha Pathirana,Right-arm medium,Right-hand bat,R,18/12/02,0.0,22.0
Andre Russell,Right-arm Fast,Right-hand bat,R,29/04/88,0.0,37.0
Benjamin Sears,Right-arm medium-fast,Right-hand bat,R,11/02/98,0.0,27.0
Dan Lawrence,Right-arm offbreak,Right-hand bat,R,12/07/97,0.0,27.0
Lungi Ngidi,Right-arm Fast,Right-hand bat,R,29/03/96,0.0,29.0
Chris Green,Right-arm offbreak,Right-hand bat,R,01/10/93,0.0,32.0
David Payne,Left-arm fast-medium,Right-hand bat,R,15/02/91,0.0,34.0
Ashton Turner,Right-arm offbreak,Right-hand bat,R,25/01/93,0.0,32.0
Ravi Bishnoi,Right-arm Leg-Break,Right-hand bat,R,05/09/00,0.0,25.0
Mayank Agarwal,Right-arm offbreak,Right-hand bat,R,16/02/91,0.0,34.0
Rahul Chahar,Right-arm Leg-Break,Right-hand bat,R,04/08/99,0.0,26.0
Akash Deep,Right-arm Fast,Right-hand bat,R,15/12/96,0.0,28.0
Krishnappa Gowtham,Right-arm offbreak,Right-hand bat,R,20/10/88,0.0,37.0
Karim Janat,Right-arm medium,Right-hand bat,R,11/08/98,0.0,27.0
Patrick Kruger,Right-arm medium,Right-hand bat,R,03/02/95,0.0,30.0
Matthew Short,Right-arm offbreak,Right-hand bat,R,08/11/95,0.0,30.0
Kyle Verreynne,Right-arm offbreak,Right-hand bat,R,12/05/97,0.0,27.0
Dwaine Pretorius,Right-arm medium-fast,Right-hand bat,R,29/03/89,0.0,36.0
Roston Chase,Right-arm offbreak,Right-hand bat,R,22/03/92,0.0,33.0
Nangeyalia Kharote,Slow left-arm orthodox,Left-hand bat,L,25/04/01,0.0,24.0
Lizaad Williams,Right-arm medium-fast,Left-hand bat,L,01/10/93,0.0,32.0
Ben Dwarshuis,Left-arm fast-medium,Left-hand bat,L,23/06/94,0.0,31.0
Reece Topley,Left-arm medium-fast,Right-hand bat,R,21/02/94,0.0,31.0
Josh Philippe,,Right-hand bat,R,01/06/97,1.0,28.0
Ben McDermott,Right-arm offbreak,Right-hand bat,R,12/12/94,0.0,30.0
Blessing Muzarabani,Right-arm Fast,Right-hand bat,R,02/10/96,0.0,29.0
Joshua Little,Left-arm Fast,Right-hand bat,R,01/11/99,0.0,26.0
Waqar Salamkheil,Left-arm Chinaman,Right-hand bat,R,02/10/01,0.0,24.0
Cooper Connolly,Slow left-arm orthodox,Left-hand bat,L,22/08/03,0.0,22.0
Nqabayomzi Peter,Right-arm Leg-Break,Right-hand bat,R,09/12/01,0.0,24.0
Jeffrey Vandersay,Right-arm Leg-Break,Right-hand bat,R,05/02/90,0.0,35.0
Ottneil Baartman,Right-arm medium-fast,Right-hand bat,R,18/03/93,0.0,32.0
Shamar Joseph,Right-arm Fast,Right-hand bat,R,31/08/99,0.0,26.0
Mikyle Louis,Right-arm Leg-Break,Right-hand bat,R,19/08/00,0.0,25.0
Alick Athanaze,Right-arm offbreak,Left-hand bat,L,07/12/98,0.0,27.0
Luke Wood,Left-arm medium,Left-hand bat,L,02/08/95,0.0,30.0
Hilton Cartwright,Right-arm medium,Right-hand bat,R,14/02/92,0.0,33.0
Pathum Nissanka,,Right-hand bat,R,18/05/98,0.0,27.0
Brandon King,,Right-hand bat,R,16/12/94,0.0,30.0
Sediqullah Atal,,Left-hand bat,L,12/08/01,0.0,23.0
Kusal Perera,,Left-hand bat,L,17/08/90,1.0,35.0
Pieter Willem Mulder,Right-arm medium,Right-hand bat,R,19/02/98,0.0,27.0
Gudakesh Moti-Kanhai,Slow left-arm orthodox,Left-hand bat,L,29/03/95,0.0,30.0
Mohammad Rishad Hossain,Right-arm Leg-Break,Right-hand bat,R,15/07/02,0.0,23.0
Dunith Wellalage,Slow left-arm orthodox,Left-hand bat,L,09/01/03,0.0,22.0
Richard Gleeson,Right-arm medium,Right-hand bat,R,02/12/87,0.0,38.0
Dan Mousley,Right-arm offbreak,Left-hand bat,L,07/07/01,0.0,24.0
Srikar Bharat,,Right-hand bat,R,03/10/93,0.0,32.0
Kuldeep Sen,Right-arm medium-fast,Right-hand bat,R,21/10/96,0.0,29.0
Sandeep Warrier,Right-arm medium,Right-hand bat,R,03/04/91,0.0,34.0
Rahul Tripathi,Right-arm medium-fast,Right-hand bat,R,02/03/91,0.0,34.0
Navdeep Saini,Right-arm Fast,Right-hand bat,R,23/11/92,0.0,33.0
Shivam Mavi,Right-arm Fast,Right-hand bat,R,26/11/98,0.0,26.0
Sarfaraz Khan,Right-arm Leg-Break,Right-hand bat,R,27/10/97,0.0,28.0
Prithvi Shaw,Right-arm offbreak,Right-hand bat,R,09/11/99,0.0,26.0
Deepak Hooda,Right-arm offbreak,Right-hand bat,R,19/04/95,0.0,30.0
Chetan Sakariya,Left-arm medium-fast,Left-hand bat,L,20/08/98,0.0,27.0
Tom Kohler,Right-arm offbreak,Right-hand bat,R,19/08/94,0.0,31.0
Leus du Plooy,Slow left-arm orthodox,Left-hand bat,L,11/01/95,0.0,30.0
Mahipal Lomror,Slow left-arm orthodox,Left-hand bat,L,16/11/99,0.0,26.0
Karn Sharma,Right-arm Leg-Break,Left-hand bat,L,22/10/87,0.0,38.0
Mohit Sharma,Right-arm medium,Right-hand bat,R,18/09/88,0.0,37.0
Ajay Ahlawat,Left-arm medium,Right-hand bat,R,,0.0,
Jalaj Saxena,Right-arm offbreak,Right-hand bat,R,15/12/86,0.0,38.0
Siddarth Kaul,Right-arm medium,Right-hand bat,R,19/05/90,0.0,35.0
Kartik Tyagi,Right-arm medium-fast,Right-hand bat,R,08/11/00,0.0,25.0
Oliver Davies,Right-arm offbreak,Right-hand bat,R,14/10/00,0.0,25.0
Duan Jansen,Left-arm Fast,Right-hand bat,R,01/05/00,0.0,25.0
Joshua Brown,Right-arm offbreak,Right-hand bat,R,26/12/93,0.0,31.0
Bevon Jacobs,Right-arm medium,Right-hand bat,R,06/05/02,0.0,23.0
Arpit Rana,Right-arm offbreak,Left-hand bat,L,15/11/03,0.0,22.0
Sarthak Ranjan,Right-arm Leg-Break,Right-hand bat,R,25/09/96,0.0,29.0
Krish Yadav,Right-arm medium,Right-hand bat,R,01/01/00,0.0,25.0
Anmol Sharma,Right-arm medium,Right-hand bat,R,01/01/00,0.0,25.0
Shivam Singh,Right-arm medium-fast,Right-hand bat,R,,0.0,
M Hemanth Reddy,Right-arm Leg-Break,Right-hand bat,R,28/10/02,0.0,23.0
Tejasvi Jaiswal,Right-arm medium,Left-hand bat,L,02/03/97,0.0,28.0
Salil Arora,Right-arm medium,Right-hand bat,R,07/11/02,0.0,23.0
Salman Nizar,Right-arm offbreak,Left-hand bat,L,30/06/97,0.0,28.0
Writtick Chatterjee,Right-arm offbreak,Right-hand bat,R,28/09/92,0.0,33.0
Ravi Kumar,Left-arm Fast,Left-hand bat,L,29/10/03,0.0,22.0
Ripal Patel,Right-arm medium-fast,Right-hand bat,R,28/09/95,0.0,30.0
Kulwant Khejroliya,Left-arm medium-fast,Left-hand bat,L,13/03/92,0.0,33.0
Himanshu Singh,Right-arm offbreak,Right-hand bat,R,24/07/03,0.0,22.0
Narayan Jagadeesan,Right-arm medium,Right-hand bat,R,23/12/95,0.0,29.0
Shubham Khajuria,Right-arm offbreak,Right-hand bat,R,13/09/95,0.0,30.0
Yeddala Kumar Reddy,Right-arm Fast,Right-hand bat,R,13/12/99,0.0,25.0
Prashant Solanki,Right-arm Leg-Break,Right-hand bat,R,22/02/00,0.0,25.0
Tejpreet Singh,Right-arm Leg-Break,Right-hand bat,R,11/08/00,0.0,25.0
Bipin Saurabh,Right-arm medium-fast,Right-hand bat,R,20/11/99,0.0,26.0
Siddarth Yadav,Right-arm Fast,Left-hand bat,L,13/08/03,0.0,22.0
Samarth Vyas,Right-arm Leg-Break,Right-hand bat,R,28/11/95,0.0,29.0
Mohit Rathee,Right-arm Leg-Break,Right-hand bat,R,12/01/99,0.0,25.0
Pratham Sing,Right-arm offbreak,Left-hand bat,L,31/08/92,0.0,33.0
Vicky Ostwal,Slow left-arm orthodox,Right-hand bat,R,01/09/02,0.0,23.0
Hardik Tamore,Right-arm medium,Right-hand bat,R,19/10/97,0.0,28.0
Aarya Desai,Right-arm offbreak,Left-hand bat,L,03/04/03,0.0,22.0
Tanush Kotian,Right-arm offbreak,Right-hand bat,R,16/10/98,0.0,27.0
KM Asif,Right-arm medium,Right-hand bat,R,24/07/93,0.0,32.0
KL Shrijith,Right-arm offbreak,Left-hand bat,L,12/08/96,0.0,28.0
Yuvraj Chaudhary,Slow left-arm orthodox,Left-hand bat,L,05/10/01,0.0,24.0
Ashok Sharma,Right-arm medium,Right-hand bat,R,17/06/02,0.0,23.0
Samarth Nagaraj,Right-arm medium-fast,Right-hand bat,R,21/10/05,0.0,20.0
Shubhang Hegde,Slow left-arm orthodox,Left-hand bat,L,30/03/01,0.0,24.0
Aryan Juyal,Right-arm Fast,Right-hand bat,R,11/11/01,1.0,24.0
Praful Hinge,Right-arm medium-fast,Right-hand bat,R,18/01/02,0.0,23.0
Vivrant Sharma,Right-arm Leg-Break,Left-hand bat,L,14/08/97,0.0,28.0
KC Cariappa,Right-arm Leg-Break,Right-hand bat,R,12/04/94,0.0,30.0
PV Satyanarayan Raju,,,,,,
Akhil Rawat,Right-arm Fast,Right-hand bat,R,,0.0,
Rajneesh Gurbani,Right-arm medium,Right-hand bat,R,28/01/93,0.0,32.0
Jafar Jamal,Right-arm medium,Right-hand bat,R,20/03/90,0.0,35.0
Kuldip Yadav,Left-arm medium-fast,Left-hand bat,L,15/10/96,0.0,29.0
Manoj Bhandage,Right-arm medium,Left-hand bat,L,05/10/98,0.0,27.0
Akshat Raghuwanshi,Right-arm offbreak,Right-hand bat,R,14/09/03,0.0,22.0
Prateek Yadav,Right-arm offbreak,Left-hand bat,L,16/02/99,0.0,26.0
Jasmer Dhankar,Right-arm Leg-Break,Right-hand bat,R,15/10/98,0.0,27.0
Mohit Avasthi,Right-arm medium-fast,Right-hand bat,R,18/11/92,0.0,33.0
Sudhesan Midhun,Right-arm Leg-Break,Right-hand bat,R,07/10/94,0.0,31.0
Anirudh Kanwar,Right-arm medium-fast,Right-hand bat,R,13/03/94,0.0,31.0
Kamal Tripathi,Right-arm offbreak,Right-hand bat,R,14/08/98,0.0,27.0
Prashant Sai Painkra,Right-arm medium-fast,Right-hand bat,R,08/09/02,0.0,23.0
Yarra Prithviraj,Left-arm Fast,Left-hand bat,L,20/02/98,0.0,27.0
Saurabh Dubey,Left-arm medium-fast,Right-hand bat,R,22/01/98,0.0,27.0
Abhimanyu Easwaran,Right-arm Leg-Break,Right-hand bat,R,06/09/95,0.0,30.0
Ashwin Hebbar,Right-arm medium,Right-hand bat,R,15/11/95,0.0,30.0
Divesh Sharma,Right-arm medium,Right-hand bat,R,20/04/01,0.0,24.0
Saranu Nishanth,Right-arm medium,Right-hand bat,R,03/03/05,0.0,20.0
Vaisakh Chandran,Right-arm offbreak,Right-hand bat,R,04/02/87,0.0,38.0
Ishan Porel,Right-arm medium,Right-hand bat,R,05/09/98,0.0,27.0
Dinesh Bana,Right-arm offbreak,Right-hand bat,R,15/12/04,0.0,20.0
Vishwanath Singh,Right-arm offbreak,Right-hand bat,R,18/06/98,0.0,27.0
Vishnu Solanki,Right-arm offbreak,Right-hand bat,R,15/10/92,0.0,33.0
Anshuman Hooda,Right-arm fast-medium,Left-hand bat,L,,0.0,
BR Sharath,Right-arm medium,Right-hand bat,R,27/09/96,1.0,29.0
Umang Kumar,Right-arm offbreak,Right-hand bat,R,11/12/00,0.0,25.0
Mahesh Pithiya,Right-arm offbreak,Right-hand bat,R,23/12/01,0.0,23.0
Rohan Kunnummal,Right-arm offbreak,Right-hand bat,R,10/05/98,0.0,27.0
Rohit Rayudu,Right-arm offbreak,Left-hand bat,L,29/07/94,0.0,31.0
Jonte Smith,,,,,,
Tanmay Agarwal,Right-arm Leg-Break,Left-hand bat,L,03/05/95,0.0,30.0
Aman Khan,Slow left-arm orthodox,Left-hand bat,L,14/03/00,0.0,25.0
Swastik Chikara,Right-arm offbreak,Right-hand bat,R,01/01/00,0.0,25.0
Harvik Desai,,Right-hand bat,R,04/10/99,1.0,26.0
Shreyash Chavan,Right-arm Leg-Break,Left-hand bat,L,01/01/00,0.0,25.0
Atharva Taide,Slow left-arm orthodox,Left-hand bat,L,26/04/00,0.0,25.0
Rithik S,Right-arm medium,Left-hand bat,L,15/02/02,0.0,23.0
Yash Dhull,Right-arm offbreak,Right-hand bat,R,11/11/02,0.0,23.0
Deepak Devadiga,Right-arm offbreak,Right-hand bat,R,14/04/99,0.0,26.0
Madhav Kaushik,Right-arm offbreak,Right-hand bat,R,03/01/98,0.0,27.0
Tanay Thyagarajan,Slow left-arm orthodox,Left-hand bat,L,15/11/95,0.0,30.0
Rajan Kumar,Left-arm medium-fast,Left-hand bat,L,08/07/96,0.0,29.0
Kunal Ajay Rathore,Right-arm medium,Left-hand bat,L,09/10/02,0.0,23.0
Vignesh Puthur,Left-arm Chinaman,Right-hand bat,R,02/03/01,0.0,24.0
Luvnith Sisodia,Left-arm medium,Left-hand bat,L,15/01/00,0.0,25.0
Ankit Rajpoot,Right-arm medium,Right-hand bat,R,04/12/93,0.0,32.0
Tushar Raheja,Right-arm Fast,Left-hand bat,L,,0.0,
Mayank Rawat,Right-arm offbreak,Right-hand bat,R,04/12/99,0.0,26.0
Sachin Dhas,Right-arm offbreak,Right-hand bat,R,02/03/05,0.0,20.0
Ricky Bhui,Right-arm Leg-Break,Right-hand bat,R,29/09/96,0.0,29.0
Aradhya Shukla,Right-arm medium-fast,Right-hand bat,R,05/12/04,0.0,21.0
Sudip Kumar Gharami,Right-arm offbreak,Right-hand bat,R,21/03/99,0.0,26.0
Bharat Sharma,Right-arm Fast,Right-hand bat,R,09/08/99,0.0,26.0
Basil Thampi,Right-arm fast-medium,Right-hand bat,R,11/09/93,0.0,32.0
Raj Limbani,Right-arm medium,Left-hand bat,L,02/02/05,0.0,20.0
Anmol Malhotra,Right-arm offbreak,Right-hand bat,R,29/11/95,0.0,29.0
Sushant Mishra,Left-arm medium-fast,Left-hand bat,L,23/12/00,0.0,24.0
Maruthungal Ajinas,,Right-hand bat,R,08/05/97,0.0,28.0
Pulkit Narang,Right-arm offbreak,Right-hand bat,R,18/06/94,0.0,31.0
Mujtaba Yousuf,Left-arm medium-fast,Left-hand bat,L,07/06/02,0.0,23.0
Vineet Panwar,Right-arm medium,Right-hand bat,R,27/06/98,0.0,27.0
R Sonu Yadav,Right-arm medium-fast,Right-hand bat,R,11/11/99,0.0,26.0
Avneesh Sudha,Right-arm offbreak,Right-hand bat,R,20/11/01,0.0,24.0
Avinash Singh,Right-arm medium,Right-hand bat,R,,0.0,
Nishunk Birla,Slow left-arm orthodox,Right-hand bat,R,01/01/00,0.0,25.0
Tejasvi Dahiya,Right-arm medium,Right-hand bat,R,18/04/02,0.0,23.0
Yugal Saini,,Right-hand bat,R,,0.0,
Ayush Doseja,Right-arm offbreak,Right-hand bat,R,,0.0,
Shivam Gupta,Right-arm offbreak,Right-hand bat,R,28/11/05,0.0,19.0
Samarth Seth,Right-arm Leg-Break,Left-hand bat,L,10/01/02,0.0,23.0
Rajneesh Dadar,Right-arm Fast,Right-hand bat,R,,0.0,
Manan Bhardwaj,Slow left-arm orthodox,Right-hand bat,R,,0.0,
Aaradhya Yadav,Right-arm Fast,Right-hand bat,R,03/06/04,0.0,21.0
Sumeet Verma,Right-arm offbreak,Right-hand bat,R,18/11/90,0.0,35.0
Shaik Rasheed,Right-arm Leg-Break,Right-hand bat,R,24/09/04,0.0,21.0
Ayush Vartak,Right-arm medium,Right-hand bat,R,,0.0,
Akash Vasisht,Slow left-arm orthodox,Left-hand bat,L,17/12/94,0.0,30.0
Abhinav Manohar,Right-arm Leg-Break,Right-hand bat,R,16/09/94,0.0,31.0
Prayas Ray Barman,Right-arm Leg-Break,Right-hand bat,R,25/10/02,0.0,23.0
Kartik Chadha,Right-arm Leg-Break,Left-hand bat,L,01/08/04,0.0,21.0
Abhay Kamal Choudhary,Right-arm medium,Right-hand bat,R,26/02/02,0.0,23.0
Rohan Rana,Right-arm medium-fast,Right-hand bat,R,12/01/02,0.0,22.0
Naman Tiwari,Right-arm offbreak,Right-hand bat,R,26/01/03,0.0,22.0
Mukhtar Hussain,Right-arm medium,Right-hand bat,R,11/01/99,0.0,26.0
Vidyadhar Patil,Right-arm medium,Right-hand bat,R,05/09/00,0.0,25.0
Sakib Hussain,Right-arm medium-fast,Right-hand bat,R,14/12/04,0.0,20.0
Kritagya Singh,Slow left-arm orthodox,Left-hand bat,L,25/09/00,0.0,25.0
Digvijay Deshmukh,Right-arm fast-medium,Right-hand bat,R,02/04/98,0.0,27.0
Slakshy Jain,Right-arm offbreak,Left-hand bat,L,04/07/02,0.0,23.0
Dhruv Kaushik,Right-arm offbreak,Right-hand bat,R,,0.0,
Girinath Reddy,Right-arm medium,Right-hand bat,R,08/10/98,0.0,27.0
Abid Mushtaq,,,,,,
Priyam Garg,Right-arm medium,Right-hand bat,R,30/11/00,0.0,24.0
Murugan Ashwin,Right-arm Leg-Break,Right-hand bat,R,08/09/90,0.0,35.0
Lalit Yadav,Right-arm offbreak,Right-hand bat,R,03/01/97,0.0,28.0
Jonty Sidhu,Right-arm offbreak,Left-hand bat,L,09/12/97,0.0,28.0
Sohrab Dhaliwal,Slow left-arm orthodox,Right-hand bat,R,18/11/91,0.0,34.0
Sachin Baby,Right-arm offbreak,Left-hand bat,L,18/12/88,0.0,36.0
Shubham Shubham Agarwal,Right-arm Leg-Break,Right-hand bat,R,21/11/93,0.0,32.0
Prerak Mankad,Right-arm medium,Right-hand bat,R,23/04/94,0.0,31.0
Sanjay Yadav,Slow left-arm orthodox,Left-hand bat,L,09/05/95,0.0,30.0
Baba Indrajith,Right-arm Leg-Break,Right-hand bat,R,08/07/94,0.0,31.0
Atharva Kale,Right-arm medium,Right-hand bat,R,21/09/99,0.0,26.0
Sumit Kumar 1,Right-arm medium-fast,Right-hand bat,R,12/12/95,0.0,29.0
Akash Madhwal,Right-arm medium-fast,Right-hand bat,R,25/11/93,0.0,32.0
Andre Siddharth,Right-arm medium,Right-hand bat,R,28/08/06,0.0,19.0
Amandeep Khare,Right-arm medium,Right-hand bat,R,05/08/97,0.0,28.0
Saransh Subodh Jain,Right-arm offbreak,Left-hand bat,L,31/03/93,0.0,32.0
Hardik Raj,Slow left-arm orthodox,Left-hand bat,L,10/03/06,0.0,19.0
P Vignesh,Slow left-arm orthodox,Left-hand bat,L,06/04/05,0.0,20.0
Kaushik Maity,Slow left-arm orthodox,Left-hand bat,L,14/10/99,0.0,26.0
Hrithik Shokeen,Right-arm offbreak,Right-hand bat,R,17/01/00,0.0,25.0
Manan Vohra,Right-arm medium,Right-hand bat,R,18/07/93,0.0,32.0
Abdul Basith,Right-arm offbreak,Right-hand bat,R,09/10/98,0.0,27.0
Atharva Ankolekar,Slow left-arm orthodox,Left-hand bat,L,26/09/00,0.0,25.0
Himanshu Sharma,Right-arm Leg-Break,Left-hand bat,L,28/11/03,0.0,21.0
Prince Choudhary,Right-arm Leg-Break,Right-hand bat,R,29/09/99,0.0,26.0
Shiva Singh,Slow left-arm orthodox,Right-hand bat,R,16/10/99,0.0,26.0
Arpit Guleria,Right-arm medium,Right-hand bat,R,26/04/97,0.0,28.0
Rajvardhan Hangargekar,Right-arm medium,Right-hand bat,R,09/11/02,0.0,23.0
Suyash Prabhudessai,Right-arm medium,Right-hand bat,R,06/12/97,0.0,28.0
Abhijeet Tomar,Right-arm offbreak,Right-hand bat,R,14/03/95,0.0,30.0
Harsh Tyagi,Right-arm medium,Right-hand bat,R,,0.0,
Himanshu Singh,Right-arm offbreak,Right-hand bat,R,24/07/03,0.0,22.0
Darshan Nalkande,Right-arm fast-medium,Right-hand bat,R,03/10/98,0.0,27.0
Shashwat Rawat,Right-arm medium-fast,Left-hand bat,L,06/04/01,0.0,24.0
Gaurav Gambhir,Right-arm offbreak,Right-hand bat,R,26/11/87,0.0,38.0
Utkarsh Singh,Right-arm offbreak,Left-hand bat,L,07/05/98,0.0,27.0
Atit Sheth,Right-arm medium,Right-hand bat,R,03/02/96,0.0,29.0
Vijay Shankar,Right-arm medium,Right-hand bat,R,25/01/91,0.0,34.0
Shubham Garhwal,Slow left-arm orthodox,Left-hand bat,L,14/05/95,0.0,30.0
Dipesh Parwani,Left-arm medium-fast,Left-hand bat,L,14/01/00,0.0,25.0
Akhil Chaudhary,Right-arm medium,Right-hand bat,R,15/07/02,0.0,23.0
Apoorv Wankhade,Right-arm medium,Right-hand bat,R,14/03/92,0.0,33.0
L Manvanth Kumar,Right-arm medium-fast,Left-hand bat,L,11/01/04,0.0,21.0
Vansh Bedi,Right-arm medium,Right-hand bat,R,23/12/02,0.0,22.0
LR Chethan,Right-arm medium,Right-hand bat,R,25/05/00,0.0,25.0
Raghav Goyal,Left-arm Chinaman,Left-hand bat,L,26/01/01,0.0,24.0
Abhilash Shetty,Left-arm medium,Left-hand bat,L,,0.0,
Money Grewal,Right-arm medium,Right-hand bat,R,04/10/00,0.0,25.0
Shivalik Sharma,Right-arm Leg-Break,Left-hand bat,L,28/11/98,0.0,26.0
Mohammed Azharuddeen,,Right-hand bat,R,22/03/94,0.0,31.0
Ayush Pandey,Right-arm offbreak,Left-hand bat,L,19/09/03,0.0,22.0
Uday Saharan,Right-arm offbreak,Right-hand bat,R,08/09/04,0.0,21.0
Praveen Dubey,Right-arm Leg-Break,Right-hand bat,R,01/07/93,0.0,32.0
Shubham Kapse,Right-arm medium,Right-hand bat,R,21/07/94,0.0,31.0
Himanshu Chauhan,Right-arm medium,Right-hand bat,R,18/01/03,0.0,22.0
Yuvraj Chudasama,Right-arm Leg-Break,Left-hand bat,L,23/11/95,0.0,30.0
Sanvir Singh,Right-arm medium,Right-hand bat,R,12/10/96,0.0,28.0
Akash Parkar,Right-arm medium,Right-hand bat,R,20/05/94,0.0,31.0
Simarjeet Singh,Right-arm medium-fast,Right-hand bat,R,17/01/98,0.0,27.0
Mayank Dagar,Slow left-arm orthodox,Right-hand bat,R,11/11/96,0.0,29.0
Saurav Chauhan,Right-arm offbreak,Right-hand bat,R,21/10/97,0.0,28.0
Roshan Waghsare,Left-arm Chinaman,Right-hand bat,R,01/01/00,0.0,25.0
Upendra Yadav,Right-arm offbreak,Right-hand bat,R,08/10/96,0.0,29.0
Kumar Kartikeya Singh,Slow left-arm orthodox,Right-hand bat,R,26/12/97,0.0,27.0
Ravi Yadav,Left-arm medium,Right-hand bat,R,28/12/91,0.0,33.0
Kamlesh Nagarkoti,Right-arm Fast,Right-hand bat,R,28/12/99,0.0,25.0
